店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
ほくろ屋,050-5485-2565,,香川県,丸亀市土器町東,9-284,CLOVERSHOEIビル A棟1F,,
個室 肉割烹 牛若丸 高松瓦町店,050-5489-1394,,香川県,高松市今新町,1-14,坂東第3ビル2F,https://y500733.gorp.jp/?_gl=1*tueo82*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTc5MS40Mi4wLjA.,True
ぴこぴこ精肉店 宇多津,050-5493-3974,,香川県,綾歌郡宇多津町浜,2-12-5,,https://s563506.gorp.jp/?_gl=1*w8x9tq*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTc5Ni4zNy4wLjA.,True
じんUTAZU,050-5493-4032,,香川県,綾歌郡宇多津町浜,2-12-5,,https://s563507.gorp.jp/?_gl=1*9ljyro*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgwMi4zMS4wLjA.,True
Grill Restaurant MOCHA,050-5486-9004,,香川県,観音寺市植田町,1683-5,,,
瀬戸内 味処 活,050-5492-6435,,香川県,高松市亀井町,11-3,江郷第1ビル1F,https://s562200.gorp.jp/?_gl=1*gralh0*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgxMi4yMS4wLjA.,True
中国料理 桃煌,050-5488-3964,,香川県,高松市浜ノ町,1-1,2F,https://s441502.gorp.jp/?_gl=1*5rwkmh*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgxNy4xNi4wLjA.,True
カルビ屋 大福 宇多津ゴールドタワー店,050-5487-7099,,香川県,綾歌郡宇多津町浜一番丁,8-1,,https://s419406.gorp.jp/?_gl=1*peznsd*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgyMy4xMC4wLjA.,True
オークラホテル丸亀 グリーンラウンジ,050-5488-7241,,香川県,丸亀市富士見町,3-3-50,,https://s518700.gorp.jp/?_gl=1*1nfm6yh*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgyOC41LjAuMA..,True
手作り豆腐とおばんざい 天水分（あめのみくまり）,050-5488-1118,,香川県,観音寺市大野原町大野原,5016,,https://s503800.gorp.jp/?_gl=1*1c9aeey*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgzMy42MC4wLjA.,True
クルーズカフェ,050-5493-4001,,香川県,丸亀市蓬莱町,56-1,,https://s563503.gorp.jp/?_gl=1*14rcols*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTgzOS41NC4wLjA.,True
炭焼 肉の近どう 丸亀店,0877-35-8989,,香川県,丸亀市今津町,560,,https://s436712.gorp.jp/?_gl=1*17eb7oq*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg0NC40OS4wLjA.,True
瀬戸内の鮮魚と骨付鳥 神童ろ,050-5486-6255,,香川県,高松市西の丸町,5-8,,https://kaisennizakayawarajiro.gorp.jp/?_gl=1*8qysmo*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg1MC40My4wLjA.,True
炭焼肉の近どう 観音寺店,050-5493-3403,,香川県,観音寺市村黒町,756-12,,https://s436713.gorp.jp/?_gl=1*1i7y8c3*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg1NS4zOC4wLjA.,True
とり鉄 高松古馬場店,050-5487-9757,,香川県,高松市古馬場町,8-1,,https://gaed862.gorp.jp/?_gl=1*1rtf7ae*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg2Mi4zMS4wLjA.,True
トラットリア たにぐち,050-5494-8562,,香川県,高松市亀井町,8-9,ハウス809 1F,https://s546000.gorp.jp/?_gl=1*1o7y2q4*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg2OC4yNS4wLjA.,True
グリル プランチャ（Grill Plancha）,050-5487-1544,,香川県,高松市丸亀町,11-3,スミレビル2F,https://grillplancha.gorp.jp/?_gl=1*1kdqe3n*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg3My4yMC4wLjA.,True
日本料理 新（あらた）,050-5488-4550,,香川県,高松市古馬場町,1-1,,https://s511200.gorp.jp/?_gl=1*rgwzof*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg3OC4xNS4wLjA.,True
日本料理 瀬戸,050-5488-3978,,香川県,高松市浜ノ町,1-1,2F,https://s441501.gorp.jp/?_gl=1*1m899m5*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg4My4xMC4wLjA.,True
串焼ホルモン 壽,050-5487-9190,,香川県,高松市丸亀町,10-4,,https://kotobuki-takamatsu.gorp.jp/?_gl=1*1rtdfxt*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg4OS40LjAuMA..,True
居酒屋 えいと,050-5487-5382,,香川県,高松市瓦町,1-9-9,瓦町ビル1F,https://izakaya-eight.gorp.jp/?_gl=1*nemkwi*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTg5NS42MC4wLjA.,True
鉄板焼 ふじいさん,050-5487-8018,,香川県,高松市瓦町,1-4-13,,https://takamatsu-fujiisan.gorp.jp/?_gl=1*1be0ymk*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkwMC41NS4wLjA.,True
寿司割烹 小松,050-5487-3915,,香川県,高松市御坊町,10-16,,https://sushi-komatsu.gorp.jp/?_gl=1*16zpie2*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkwNS41MC4wLjA.,True
個室 藁焼き×日本酒処 龍馬 高松瓦町店,050-5489-1644,,香川県,高松市今新町,1-14,坂東第3ビル3F,https://y500732.gorp.jp/?_gl=1*na46kf*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkxMS40NC4wLjA.,True
ぴこぴこ精肉店 サンフラワー通り,050-5493-1302,,香川県,高松市伏石町,2137-2,,https://s563504.gorp.jp/?_gl=1*40o97i*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkxNi4zOS4wLjA.,True
ぴこぴこ精肉店 多度津,050-5493-4012,,香川県,仲多度郡多度津町堀江,5-2-6,,https://s563502.gorp.jp/?_gl=1*j2935t*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkyMy4zMi4wLjA.,True
魚民 宇多津店,0877-41-0188,,香川県,綾歌郡宇多津町浜二番丁,20-13,オークプラザ 1F,https://s026026.gorp.jp/?_gl=1*1djoiwe*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkyOC4yNy4wLjA.,True
串焼酒場 若八屋,050-5494-5393,,香川県,高松市西の丸町,6-12,,https://s533100.gorp.jp/?_gl=1*1hjds22*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkzMy4yMi4wLjA.,True
