店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
居酒屋 えいと,050-5487-5382,,香川県,高松市瓦町,1-9-9,瓦町ビル1F,,
瀬戸内の鮮魚と骨付鳥 神童ろ,050-5486-6255,,香川県,高松市西の丸町,5-8,,,
Nord un（ノーアン）,050-5486-2176,,香川県,高松市大工町,1-7,大利根ビル1F,,
クルーズカフェ,050-5493-4001,,香川県,丸亀市蓬莱町,56-1,,,
チーズサムギョプサル＆ロングユッケ寿司 MoiM 高松店,050-5492-6493,,香川県,高松市鍛冶屋町,4-20,,,
個室 藁焼き×日本酒処 龍馬 高松瓦町店,050-5489-1644,,香川県,高松市今新町,1-14,坂東第3ビル3F,,
ほくろ屋,050-5485-2565,,香川県,丸亀市土器町東,9-284,CLOVERSHOEIビル A棟1F,https://hokuroya.com/,True
ぴこぴこ精肉店 宇多津,050-5493-3974,,香川県,綾歌郡宇多津町浜,2-12-5,,,
IZAKAYA 時々jiji 観音寺店,050-5487-0831,,香川県,観音寺市昭和町,1-8-39,,,
北角（ノースポイント）,050-5485-2481,,香川県,高松市西の丸町,1-26,大川バスビルB1,,
イカの姿造り×九州料理 個室居酒屋 弁慶 高松瓦町店,050-5486-7096,,香川県,高松市丸亀町,12-7,,,
カルビ屋 大福 宇多津ゴールドタワー店,050-5487-7099,,香川県,綾歌郡宇多津町浜一番丁,8-1,,,
魚民 宇多津店,0877-41-0188,,香川県,綾歌郡宇多津町浜二番丁,20-13,オークプラザ 1F,https://www.monteroza.co.jp/shop.html?shop=802945,True
宴の郷 La’なら（らなら）,050-5494-6764,,香川県,高松市伏石町,2083-14,,,
とり鉄 高松古馬場店,050-5487-9757,,香川県,高松市古馬場町,8-1,,http://www.tori-tetsu.com/shop/307p/,False
座敷個室完備 豊丸水産 高松ライオン通店,050-5492-2014,,香川県,高松市古馬場町,13-8,丸一ビル1F,http://ww25.toyomarusuisan-official.com/shop/takamatsu/?subid1=20230404-0211-26b0-bee0-dd11b43e4fac,False
個室 肉割烹 牛若丸 高松瓦町店,050-5489-1394,,香川県,高松市今新町,1-14,坂東第3ビル2F,,
Grill Restaurant MOCHA,050-5486-9004,,香川県,観音寺市植田町,1683-5,,,
にく味 新（あらた）,050-5494-4827,,香川県,高松市鍛冶屋町,4-7,藤ビル1F,,
炭焼きカルビ ぼっけぇ,050-5486-7553,,香川県,高松市亀井町,9-8,大塚ビル1F,,
四国・讃岐 ぴかでり屋,050-5485-6524,,香川県,高松市福田町,9-5,,https://piccadilly-ya.com/,True
瀬戸内鮮魚地鶏屋 高松鍛冶屋町店,050-5487-9663,,香川県,高松市鍛冶屋町,4-21,ワンフットビル1F,,
旬彩真 和っか（わっか）,050-5487-6107,,香川県,高松市古新町,10-9,,,
炭焼肉の近どう 観音寺店,050-5493-3403,,香川県,観音寺市村黒町,756-12,,,
カルビ屋 大福 高松東バイパス店,050-5486-7898,,香川県,高松市伏石町,2166-9,,,
トラットリア たにぐち,050-5494-8562,,香川県,高松市亀井町,8-9,ハウス809 1F,,
古今,050-5494-5647,,香川県,高松市瓦町,1-3-14,,,
じんUTAZU,050-5493-4032,,香川県,綾歌郡宇多津町浜,2-12-5,,,
カフェ＆レストラン ヴァン,050-5488-3966,,香川県,高松市浜ノ町,1-1,1F,,
個室居酒屋 くいもの屋わん 高松南新町店,050-5484-3178,,香川県,高松市南新町,1-4,富田ビル2F,http://www.oizumifoods.co.jp/,False
Sanuki Wa‐Fu Dining 真 SIN,050-5488-8758,,香川県,高松市西の丸町,2-22,,,
串焼酒場 若八屋,050-5494-5393,,香川県,高松市西の丸町,6-12,,,
海鮮と骨付鳥 讃岐酒場 高松フェリー通り店,050-5492-1953,,香川県,高松市瓦町,1-4-15,拓殖ビル1F,http://sakanayadojo-official.com/shop/takamatsu_ferry/,False
IZAKAYA 時々jiji 高瀬店,050-5487-0844,,香川県,三豊市高瀬町比地,113-1,,,
オークラホテル丸亀 グリーンラウンジ,050-5488-7241,,香川県,丸亀市富士見町,3-3-50,,,
居楽屋白木屋 坂出駅前店,0877-44-2688,,香川県,坂出市元町,1-1-1,坂出駅高架下1F,https://www.monteroza.co.jp/shop.html?shop=829151,True
イラリカ（ilalika）,050-5494-9416,,香川県,高松市古馬場町,14-33,,,
手作り豆腐とおばんざい 天水分（あめのみくまり）,050-5488-1118,,香川県,観音寺市大野原町大野原,5016,,https://amenomikumari.com/index.php,True
樹里庵,0877-62-2229,,香川県,善通寺市善通寺町,2-5-18,,,
ステーキハウス 听 高松店,050-5484-1561,,香川県,高松市丸ノ内,11-9,大内ビル1F,,
三代目鳥メロ 高松南新町店,050-5492-3969,,香川県,高松市南新町,12-5,タカラヤビル3F,https://torimero.com/takamatsu/,True
すし 森山,050-5486-7413,,香川県,高松市今新町,7-1,,,
魚料理 おか,050-5488-5158,,香川県,高松市内町,3-3,山ビル1F,,
焼肉なかむら 屋島店,050-5489-4460,,香川県,高松市屋島西町,2484-4,,,
瀬戸内 味処 活,050-5492-6435,,香川県,高松市亀井町,11-3,江郷第1ビル1F,,
日本料理 新（あらた）,050-5488-4550,,香川県,高松市古馬場町,1-1,,,
焼肉 シージャン,050-5487-9192,,香川県,高松市鍛冶屋町,1-7,2F,,
LLOYDS ロイズ,050-5489-5368,,香川県,高松市瓦町,1-10-8,,,
自然派ワイン居酒屋 ガブマル食堂,050-5489-5583,,香川県,高松市御坊町,9-5,,,
串焼ホルモン 壽,050-5487-9190,,香川県,高松市丸亀町,10-4,,,
